"b_alt1","b_alt2","b_Erreichbarkeit","b_Miete","b_Naturnähe","b_Garden","b_Kleingarten","b_Balcony","logLike"
0,0,0,0,0,0,0,0,-37259.4357701789
0,0,0,0,0,0,0,0,-37259.4357701789
-0.000599552,-0.0005440512,-0.0281985245866682,-0.0234748689297243,0.00167519573333334,0.00306486613333334,0.00314330453333334,0.00210353493333334,-30309.6713146109
-0.00232332487258938,-0.00158194497019331,-0.0160154858253949,-0.0407773048323858,0.00825073235023995,0.0151965668573537,0.0155344421053731,0.0104431097720523,-29533.5777544363
-0.0146071844118699,-0.00894031133299526,-0.0232118869222768,-0.0224872732094222,0.0471753131670871,0.0869109628017247,0.0888609855199931,0.0597509406529949,-28019.9642326131
-0.949488716080111,-0.819048737596264,-0.0127693058900229,-0.0120726582829977,0.0938592287323602,0.070553569885694,0.123901852219248,0.00486774649533648,-25256.610050577
-0.865014612589593,-0.951841919338422,-0.0124492964797617,-0.0112442589695767,0.116902039495072,0.0733978839399895,0.094339378889676,0.03390866205532,-25249.1303028619
-0.876383321072623,-0.944701222864548,-0.0124305247527716,-0.0112694670623759,0.227484078278632,0.0855299568765097,0.00153709212567486,0.0663509723399695,-25248.6449286644
-0.874654839592667,-0.944906689562429,-0.0124396138279641,-0.0112410839326161,0.273131215241005,0.081889375081908,-0.00827341727895282,0.0508819710275117,-25245.6591873195
-0.874453779171679,-0.943906423650732,-0.0124418897144416,-0.0112338423676474,0.309776791834716,0.0571691863011548,-0.00619710698627357,0.0552375397156939,-25243.8101252325
-1.10988425617696,-1.05714382964036,-0.0154406399848707,-0.0183484713246791,0.338882841967778,0.0301843472881611,0.056014888663677,-0.0244554266787469,-24774.5841810937
-1.0835260857572,-1.03541007247512,-0.0198070187852311,-0.0202598446673569,0.362755334165057,0.0303180699950029,0.0575492635865941,-0.0209214389376106,-24685.6243391708
-1.04515925955378,-1.0148124696576,-0.0236404162793298,-0.0213029574126859,0.381931197672668,0.0343751914356633,0.0524418668150642,-0.0147714748125139,-24659.1787709914
-1.03816671353503,-1.01232771213079,-0.0245098206497074,-0.021287447255936,0.384248352673416,0.0354404509319743,0.0510767090619531,-0.0139405147946645,-24658.2136706426
-1.03675891400372,-1.01142051285545,-0.0246831881828818,-0.0212307113287156,0.383960080251216,0.0355695331635761,0.0508762989246272,-0.0139138653706785,-24658.1654494489
-1.03643535532642,-1.01102030792821,-0.0247000415626792,-0.0212145053545882,0.383648729778938,0.0355562215172142,0.0508666603919299,-0.013920362053574,-24658.1626008978
-1.03636836111914,-1.01092155953634,-0.0246971085147907,-0.0212143746733283,0.383561667499662,0.0355500035745839,0.0508663316637245,-0.013915288979182,-24658.1624908624
-1.03636835792893,-1.01092155479367,-0.0246969621546683,-0.0212143056610216,0.383561635031216,0.0355499434130854,0.0508662707473364,-0.0139153300501053,-24658.1624907683
-1.0363590420122,-1.01091862519376,-0.0246967280497428,-0.0212146150534619,0.383556233567929,0.0355498582467002,0.0508660892481314,-0.0139153384838528,-24658.1624893447
